Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,757.92,758.76,747.7,753.67,3468274
2017-01-04,758.39,759.68,754.2,757.18,2423218
2017-01-05,761.55,782.4,760.256,780.45,5768331
2017-01-06,782.36,799.44,778.48,795.99,5793017
2017-01-09,798,801.774,791.77,796.92,3399243
2017-01-10,796.6,798,789.543,795.9,2497924
2017-01-11,793.66,799.5,789.51,799.02,2894400
2017-01-12,800.31,814.13,799.5,813.64,4788107
2017-01-13,814.32,821.65,811.4,817.24,3610707
2017-01-17,815.7,816,803.44,809.72,3561006
2017-01-18,809.5,811.73,804.27,807.48,2252618
2017-01-19,810,813.51,807.32,809.04,2500277
2017-01-20,815.28,816.02,806.26,808.33,3225636
2017-01-23,806.8,818.5,805.08,817.88,2624347
2017-01-24,822,823.99,814.5,822.44,2902871
2017-01-25,825.79,837.418,825.288,836.52,3799247
2017-01-26,835.53,843.84,833,839.15,3442892
2017-01-27,839,839.7,829.44,835.75,2767196
2017-01-30,833,833.5,816.38,830.38,3630339
2017-01-31,823.75,826.99,819.56,823.48,3032421
2017-02-01,829.21,833.78,824.94,832.35,3719530
2017-02-02,836.59,842.49,828.26,839.95,5595076
2017-02-03,806.72,818.3,804,810.2,10868773
2017-02-06,809.8,810.72,803,807.64,3685290
2017-02-07,809.31,816.16,807.5,812.5,3398517
2017-02-08,812.69,821.479,812.5,819.71,2779828
2017-02-09,821.6,825,819.71,821.36,2423550
2017-02-10,823.82,828,822.85,827.46,2319270
2017-02-13,831.62,843,828.55,836.53,4039516
2017-02-14,837,838.31,831.452,836.39,2493701
2017-02-15,834,842.81,832.82,842.7,2881730
2017-02-16,841.84,845,839.375,844.28,2567839
2017-02-17,842,847.27,840.73,845.07,2870546
2017-02-21,848.84,857.98,847.25,856.44,3352414
2017-02-22,856.95,858.43,852.18,855.61,2505173
2017-02-23,857.57,860.86,848,852.19,3154509
2017-02-24,844.69,845.81,837.75,845.24,3591851
2017-02-27,842.38,852.5,839.67,848.64,2487600
2017-02-28,851.45,854.09,842.05,845.04,2710000
2017-03-01,853.05,854.83,849.01,853.08,2650275
2017-03-02,853.08,854.82,847.28,848.91,2094816
2017-03-03,847.2,851.985,846.27,849.88,1882583
2017-03-06,845.23,848.49,841.12,846.61,2402543
2017-03-07,845.48,848.46,843.75,846.02,2117718
2017-03-08,848,853.07,846.79,850.5,2180555
2017-03-09,851,856.4,850.31,853,1971746
2017-03-10,857,857.35,851.72,852.2,2156883
2017-03-13,853.11,855.69,851.71,854.59,1909672
2017-03-14,853.55,853.75,847.55,852.53,2130586
2017-03-15,854.33,854.45,847.11,852.97,2562176
2017-03-16,855.3,855.5,850.51,853.42,1842296
2017-03-17,853.49,853.83,850.64,852.31,2959989
2017-03-20,851.51,857.8,851.01,856.97,2282727
2017-03-21,858.84,862.795,841.31,843.2,4382852
2017-03-22,840.43,849.37,839.05,848.06,2658669
2017-03-23,848.2,850.89,844.8,847.38,1952964
2017-03-24,851.68,851.8,843.53,845.61,2086261
2017-03-27,838.07,850.3,833.5,846.82,2687081
2017-03-28,851.75,858.46,850.1,856,2851832
2017-03-29,859.05,876.438,859.02,874.32,4229470
2017-03-30,874.95,877.06,871.66,876.34,2712349
2017-03-31,877,890.35,876.65,886.54,3816127
2017-04-03,888,893.49,885.42,891.51,3422328
2017-04-04,891.5,908.538,890.28,906.83,4937884
2017-04-05,910.82,923.72,905.62,909.28,7396854
2017-04-06,913.8,917.19,894.493,898.28,6189311
2017-04-07,899.65,900.09,889.31,894.88,3710922
2017-04-10,899.63,908.51,899,907.04,3047224
2017-04-11,907.04,911.24,897.5,902.36,3012743
2017-04-12,903.09,904.09,895.25,896.23,2407868
2017-04-13,891.45,894.97,884.49,884.67,3095922
2017-04-17,887.5,902.38,887.5,901.99,2698857
2017-04-18,900.99,909.61,900.78,903.78,2687708
